Timestamp,Score
2024-09-10 07:07:51.162004,2
2024-09-10 07:07:51.274978,4
2024-09-10 07:07:51.387196,5
2024-09-10 07:07:51.497532,6
2024-09-10 07:07:51.609262,7
2024-09-10 07:07:51.716206,8
2024-09-10 07:07:51.853757,9
2024-09-10 07:07:51.963748,10
2024-09-10 07:07:52.075378,12
2024-09-10 07:07:52.187974,13
2024-09-10 07:07:52.313077,14
2024-09-10 07:07:52.440501,15
2024-09-10 07:07:52.561861,16
2024-09-10 07:07:52.673723,18
2024-09-10 07:07:53.549008,26
2024-09-10 07:07:53.824543,29
2024-09-10 07:07:54.037396,31
2024-09-10 07:07:54.256710,33
2024-09-10 07:07:54.446710,35
2024-09-10 07:07:54.587707,37
2024-09-10 07:07:54.752118,38
2024-09-10 07:07:54.891197,40
2024-09-10 07:07:55.032501,41
2024-09-10 07:07:55.176578,43
2024-09-10 07:07:55.320037,44
2024-09-10 07:07:55.457447,45
2024-09-10 07:07:55.668600,48
2024-09-10 07:07:55.838643,49
2024-09-10 07:07:55.998105,51
2024-09-10 07:07:56.142261,52
2024-09-10 07:07:56.273375,54
2024-09-10 07:07:56.543849,56
2024-09-10 07:07:56.720844,58
2024-09-10 07:07:56.942387,60
2024-09-10 07:07:57.111658,62
2024-09-10 07:07:57.298854,64
2024-09-10 07:07:57.484651,66
2024-09-10 07:07:57.699275,68
2024-09-10 07:07:57.885450,70
2024-09-10 07:07:58.166938,73
2024-09-10 07:07:58.365357,75
2024-09-10 07:07:58.532358,76
2024-09-10 07:07:58.671813,78
2024-09-10 07:07:58.830149,79
2024-09-10 07:07:58.969793,81
2024-09-10 07:07:59.256922,83
2024-09-10 07:07:59.532833,86
2024-09-10 07:07:59.756038,88
2024-09-10 07:07:59.941991,90
2024-09-10 07:08:00.238708,93
2024-09-10 07:08:00.550875,96
2024-09-10 07:08:00.841817,99
2024-09-10 07:08:01.245435,103
2024-09-10 07:08:01.579652,107
2024-09-10 07:08:04.879859,140
2024-09-10 07:08:05.150858,142
