Title,Subtitle,Author,Length,Release Date,Language
,N/A,Kelly Rimmer,13 hrs and 47 mins,03-19-19,English
The Things We Cannot Say,N/A,N/A,N/A,N/A,N/A
Kelly Rimmer,N/A,N/A,N/A,N/A,N/A
Ann Marie Gideon,N/A,N/A,N/A,N/A,N/A
,N/A,Kristin Hannah,17 hrs and 19 mins,02-03-15,English
The Nightingale,N/A,N/A,N/A,N/A,N/A
Kristin Hannah,N/A,N/A,N/A,N/A,N/A
Polly Stone,N/A,N/A,N/A,N/A,N/A
,A Novel,Lisa Wingate,14 hrs and 29 mins,06-06-17,English
Before We Were Yours,N/A,N/A,N/A,N/A,N/A
Lisa Wingate,N/A,N/A,N/A,N/A,N/A
Emily Rankin,N/A,N/A,N/A,N/A,N/A
,A Novel,Karin Slaughter,17 hrs and 52 mins,08-08-17,English
The Good Daughter,N/A,N/A,N/A,N/A,N/A
Karin Slaughter,N/A,N/A,N/A,N/A,N/A
Kathleen Early,N/A,N/A,N/A,N/A,N/A
The Good Daughter,N/A,N/A,N/A,N/A,N/A
,N/A,Georgia Hunter,15 hrs and 36 mins,02-14-17,English
We Were the Lucky Ones,N/A,N/A,N/A,N/A,N/A
Georgia Hunter,N/A,N/A,N/A,N/A,N/A
Kathleen Gati,N/A,N/A,N/A,N/A,N/A
,A Novel,Kate Quinn,16 hrs and 2 mins,03-09-21,English
The Rose Code,N/A,N/A,N/A,N/A,N/A
Kate Quinn,N/A,N/A,N/A,N/A,N/A
Saskia Maarleveld,N/A,N/A,N/A,N/A,N/A
,A Novel,James McBride,12 hrs and 21 mins,08-08-23,English
The Heaven & Earth Grocery Store,N/A,N/A,N/A,N/A,N/A
James McBride,N/A,N/A,N/A,N/A,N/A
Dominic Hoffman,N/A,N/A,N/A,N/A,N/A
,A Novel,John Boyne,12 hrs and 42 mins,11-29-22,English
All the Broken Places,N/A,N/A,N/A,N/A,N/A
John Boyne,N/A,N/A,N/A,N/A,N/A
Kristin Atherton,N/A,N/A,N/A,N/A,N/A
Boy in the Striped Pyjamas,N/A,N/A,N/A,N/A,N/A
,A Novel,Lisa Wingate,15 hrs and 6 mins,04-07-20,English
The Book of Lost Friends,N/A,N/A,N/A,N/A,N/A
Lisa Wingate,N/A,N/A,N/A,N/A,N/A
Sophie Amoss,N/A,N/A,N/A,N/A,N/A
,What We Should Know About the People We Don't Know,Malcolm Gladwell,8 hrs and 42 mins,09-10-19,English
Talking to Strangers,N/A,N/A,N/A,N/A,N/A
Malcolm Gladwell,N/A,N/A,N/A,N/A,N/A
Malcolm Gladwell,N/A,N/A,N/A,N/A,N/A
,A Novel,Bonnie Garmus,11 hrs and 55 mins,04-05-22,English
Lessons in Chemistry,N/A,N/A,N/A,N/A,N/A
Bonnie Garmus,N/A,N/A,N/A,N/A,N/A
Miranda Raison,N/A,N/A,N/A,N/A,N/A
,A Memoir,Tara Westover,12 hrs and 10 mins,02-20-18,English
Educated,N/A,N/A,N/A,N/A,N/A
Tara Westover,N/A,N/A,N/A,N/A,N/A
Julia Whelan,N/A,N/A,N/A,N/A,N/A
,"A Therapist, HER Therapist, and Our Lives Revealed",Lori Gottlieb,14 hrs and 21 mins,04-02-19,English
Maybe You Should Talk to Someone,N/A,N/A,N/A,N/A,N/A
Lori Gottlieb,N/A,N/A,N/A,N/A,N/A
Brittany Pressley,N/A,N/A,N/A,N/A,N/A
,A Counterintuitive Approach to Living a Good Life,Mark Manson,5 hrs and 17 mins,09-13-16,English
The Subtle Art of Not Giving a F*ck,N/A,N/A,N/A,N/A,N/A
Mark Manson,N/A,N/A,N/A,N/A,N/A
Roger Wayne,N/A,N/A,N/A,N/A,N/A
,A Novel,Fredrik Backman,9 hrs and 53 mins,09-08-20,English
Anxious People,N/A,N/A,N/A,N/A,N/A
Fredrik Backman,N/A,N/A,N/A,N/A,N/A
Marin Ireland,N/A,N/A,N/A,N/A,N/A
,The Origins of Our Discontents,Isabel Wilkerson,15 hrs and 10 mins,08-04-20,English
Caste (Oprah's Book Club),N/A,N/A,N/A,N/A,N/A
Isabel Wilkerson,N/A,N/A,N/A,N/A,N/A
Robin Miles,N/A,N/A,N/A,N/A,N/A
,N/A,"Sofia Segovia, Simon Bruni - translator",14 hrs and 20 mins,04-16-19,English
The Murmur of Bees,N/A,N/A,N/A,N/A,N/A
Sofia Segovia,N/A,N/A,N/A,N/A,N/A
Xe Sands,N/A,N/A,N/A,N/A,N/A
,N/A,Matthew McConaughey,6 hrs and 42 mins,10-20-20,English
Greenlights,N/A,N/A,N/A,N/A,N/A
Matthew McConaughey,N/A,N/A,N/A,N/A,N/A
Matthew McConaughey,N/A,N/A,N/A,N/A,N/A
,A Novel,Shelby Van Pelt,11 hrs and 16 mins,05-03-22,English
Remarkably Bright Creatures,N/A,N/A,N/A,N/A,N/A
Shelby Van Pelt,N/A,N/A,N/A,N/A,N/A
Marin Ireland,N/A,N/A,N/A,N/A,N/A
,A Novel,Barbara Kingsolver,21 hrs and 3 mins,10-18-22,English
Demon Copperhead,N/A,N/A,N/A,N/A,N/A
Barbara Kingsolver,N/A,N/A,N/A,N/A,N/A
Charlie Thurston,N/A,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,N/A,N/A
25,N/A,N/A,N/A,N/A,N/A
